function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_glob	c:@F@p101_glob	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/glob.c	libraries/lib_posix/include/p101_posix/p101_glob.h	yes	yes	yes	glob	c:@F@glob
p101_globfree	c:@F@p101_globfree	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/glob.c	libraries/lib_posix/include/p101_posix/p101_glob.h	yes	yes	yes	globfree	c:@F@globfree
p101_lchown	c:@F@p101_lchown	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	lchown	c:@F@lchown
p101_link	c:@F@p101_link	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	link	c:@F@link
p101_linkat	c:@F@p101_linkat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	linkat	c:@F@linkat
p101_lstat	c:@F@p101_lstat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h	yes	yes	yes	lstat	c:@F@lstat
p101_mkdir	c:@F@p101_mkdir	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h	yes	yes	yes	mkdir	c:@F@mkdir
p101_mkdirat	c:@F@p101_mkdirat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h	yes	yes	yes	mkdirat	c:@F@mkdirat
p101_mkdtemp	c:@F@p101_mkdtemp	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/stdlib.c	libraries/lib_posix/include/p101_posix/p101_stdlib.h	yes	yes	yes	mkdtemp	c:@F@mkdtemp
p101_mknod	c:@F@p101_mknod	XSI	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix_xsi/src/sys/stat.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_stat.h	yes	yes	yes	mknod	c:@F@mknod
p101_mkstemp	c:@F@p101_mkstemp	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/stdlib.c	libraries/lib_posix/include/p101_posix/p101_stdlib.h	yes	yes	yes	mkstemp	c:@F@mkstemp
p101_nftw	c:@F@p101_nftw	XSI	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix_xsi/src/ftw.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ftw.h	yes	yes	yes	nftw	c:@F@nftw
p101_opendir	c:@F@p101_opendir	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h	yes	yes	yes	opendir	c:@F@opendir
p101_pathconf	c:@F@p101_pathconf	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	pathconf	c:@F@pathconf
p101_readdir	c:@F@p101_readdir	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h	yes	yes	yes	readdir	c:@F@readdir
p101_readlink	c:@F@p101_readlink	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	readlink	c:@F@readlink
p101_readlinkat	c:@F@p101_readlinkat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	readlinkat	c:@F@readlinkat
p101_realpath	c:@F@p101_realpath	XSI	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	realpath	c:@F@realpath
